id	type	longitude	latitude	elevation
13138	136	-97.7434	30.2682	0.0
13139	136	-97.745	30.2676	0.0
13140	136	-97.7375	30.2676	0.0
13141	136	-97.7389	30.2669	0.0
13142	136	-97.7382	30.2657	0.0
13143	136	-97.7402	30.2694	0.0
13144	136	-97.7416	30.2713	0.0
13145	136	-97.7395	30.2713	0.0
13146	136	-97.7433	30.2723	0.0
13147	136	-97.7443	30.2726	0.0
13148	136	-97.745	30.2707	0.0
13149	136	-97.7428	30.2701	0.0
13150	136	-97.7464	30.2686	0.0
13151	136	-97.7493	30.2706	0.0
13152	136	-97.7447	30.2733	0.0
13153	136	-97.7457	30.2753	0.0
13154	136	-97.7486	30.2755	0.0
13155	136	-97.7482	30.2767	0.0
13156	136	-97.7467	30.279	0.0
13157	136	-97.7461	30.276	0.0
13158	136	-97.7454	30.278	0.0
13159	136	-97.7449	30.2791	0.0
13160	136	-97.7414	30.2774	0.0
13161	136	-97.7389	30.2767	0.0
13162	136	-97.7402	30.2647	0.0
13163	136	-97.7468	30.2708	0.0
13164	136	-97.7364	30.2704	0.0
13165	136	-97.7438	30.2757	0.0
13166	136	-97.7468	30.2773	0.0
13167	136	-97.7351	30.2783	0.0
13168	136	-97.739	30.2783	0.0
13169	136	-97.7375	30.2805	0.0
13170	136	-97.7399	30.2797	0.0
13171	136	-97.7336	30.2794	0.0
13172	136	-97.7423	30.2818	0.0
13173	136	-97.7415	30.2883	0.0
13174	136	-97.7418	30.2845	0.0
13175	136	-97.7443	30.2879	0.0
13176	136	-97.7477	30.2892	0.0
13177	136	-97.7445	30.29	0.0
13178	136	-97.7446	30.2887	0.0
13179	136	-97.7412	30.2913	0.0
13180	136	-97.7441	30.2945	0.0
13181	136	-97.742	30.2937	0.0
13182	136	-97.7312	30.2893	0.0
13183	136	-97.7469	30.2974	0.0
13184	136	-97.7467	30.2994	0.0
13194	136	-97.743	30.2892	0.0
13195	136	-97.744	30.2852	0.0
13196	136	-97.7442	30.2824	0.0
13198	136	-97.7441	30.284	0.0
13199	136	-97.7469	30.2705	0.0
100344	1000	-97.7474	30.3021	0.0
200344	1000	-97.7474	30.3021	0.0
100345	1000	-97.7428	30.2995	0.0
200345	1000	-97.7428	30.2995	0.0
100356	1000	-97.7459	30.2913	0.0
200356	1000	-97.7459	30.2913	0.0
100358	1000	-97.7483	30.2851	0.0
200358	1000	-97.7483	30.2851	0.0
100359	1000	-97.7435	30.285	0.0
200359	1000	-97.7435	30.285	0.0
100360	1000	-97.7429	30.2906	0.0
200360	1000	-97.7429	30.2906	0.0
100361	1000	-97.7376	30.2922	0.0
200361	1000	-97.7376	30.2922	0.0
100362	1000	-97.7373	30.2847	0.0
200362	1000	-97.7373	30.2847	0.0
100363	1000	-97.7317	30.2861	0.0
200363	1000	-97.7317	30.2861	0.0
100372	1000	-97.7522	30.2722	0.0
200372	1000	-97.7522	30.2722	0.0
100373	1000	-97.75	30.2739	0.0
200373	1000	-97.75	30.2739	0.0
100374	1000	-97.7452	30.2768	0.0
200374	1000	-97.7452	30.2768	0.0
100375	1000	-97.7437	30.2805	0.0
200375	1000	-97.7437	30.2805	0.0
100376	1000	-97.7405	30.2795	0.0
200376	1000	-97.7405	30.2795	0.0
100377	1000	-97.7402	30.275	0.0
200377	1000	-97.7402	30.275	0.0
100378	1000	-97.7437	30.271	0.0
200378	1000	-97.7437	30.271	0.0
100379	1000	-97.7402	30.2707	0.0
200379	1000	-97.7402	30.2707	0.0
100380	1000	-97.7449	30.2679	0.0
200380	1000	-97.7449	30.2679	0.0
100381	1000	-97.741	30.2673	0.0
200381	1000	-97.741	30.2673	0.0
100382	1000	-97.7381	30.2665	0.0
200382	1000	-97.7381	30.2665	0.0
100383	1000	-97.7359	30.2707	0.0
200383	1000	-97.7359	30.2707	0.0
100384	1000	-97.7337	30.2738	0.0
200384	1000	-97.7337	30.2738	0.0
100385	1000	-97.7341	30.2774	0.0
200385	1000	-97.7341	30.2774	0.0
100386	1000	-97.7315	30.2823	0.0
200386	1000	-97.7315	30.2823	0.0
100403	1000	-97.7527	30.2676	0.0
200403	1000	-97.7527	30.2676	0.0
100404	1000	-97.7494	30.2665	0.0
200404	1000	-97.7494	30.2665	0.0
100405	1000	-97.746	30.2655	0.0
200405	1000	-97.746	30.2655	0.0
100406	1000	-97.7424	30.2638	0.0
200406	1000	-97.7424	30.2638	0.0
100407	1000	-97.7394	30.2637	0.0
200407	1000	-97.7394	30.2637	0.0
100849	1000	-97.7484	30.2695	0.0
200849	1000	-97.7484	30.2695	0.0
101408	1000	-97.7467	30.2731	0.0
201408	1000	-97.7467	30.2731	0.0
101409	1000	-97.7489	30.2782	0.0
201409	1000	-97.7489	30.2782	0.0
101410	1000	-97.748	30.2816	0.0
201410	1000	-97.748	30.2816	0.0
101413	1000	-97.7372	30.2786	0.0
201413	1000	-97.7372	30.2786	0.0
133192	1000	-97.6849	30.3256	0.0
233192	1000	-97.6849	30.3256	0.0
13500	136	-97.7555509261609	30.2663454823876	0.0
12997	136	-97.73	30.2787	0.0
5200	136	-97.7308	30.2767	0.0
9911	136	-97.7291	30.281	0.0
5144	136	-97.7313	30.2761	0.0
5142	136	-97.7297	30.2786	0.0
5687	136	-97.7303	30.2774	0.0
6396	136	-97.7282	30.281	0.0
5206	136	-97.7309	30.2751	0.0
5205	136	-97.7291	30.2785	0.0
6395	136	-97.73	30.2799	0.0
5199	136	-97.7293	30.2799	0.0
12168	136	-97.7299	30.2771	0.0
6394	136	-97.7288	30.2791	0.0
6390	136	-97.7292	30.2814	0.0
5141	136	-97.7278	30.2817	0.0
6397	136	-97.7278	30.2821	0.0
9910	136	-97.7279	30.2823	0.0
6386	136	-97.7268	30.2788	0.0
6392	136	-97.728	30.2808	0.0
6389	136	-97.7274	30.2828	0.0
6391	136	-97.7272	30.2824	0.0
10631	136	-97.7314	30.273	0.0
9912	136	-97.7165	30.3002	0.0
5734	136	-97.733	30.2705	0.0
5691	136	-97.7325	30.2703	0.0
5781	136	-97.7325	30.2719	0.0
5775	136	-97.7326	30.2725	0.0
5787	136	-97.7322	30.2719	0.0
5720	136	-97.7328	30.2704	0.0
5684	136	-97.7319	30.2719	0.0
10616	136	-97.7294	30.2692	0.0
5776	136	-97.7319	30.273	0.0
5786	136	-97.7317	30.2724	0.0
5774	136	-97.732	30.2741	0.0
5783	136	-97.7316	30.2746	0.0
5785	136	-97.7311	30.2742	0.0
12097	136	-97.7308	30.272	0.0
12138	136	-97.7316	30.2753	0.0
12642	136	-97.7319	30.2745	0.0
5689	136	-97.7311	30.2756	0.0
5674	136	-97.731	30.2746	0.0
5669	136	-97.7309	30.2635	0.0
5698	136	-97.7377	30.2574	0.0
5682	136	-97.737	30.257	0.0
3426	136	-97.7353	30.2643	0.0
10584	136	-97.7342	30.2615	0.0
5766	136	-97.7345	30.2647	0.0
5686	136	-97.7346	30.2643	0.0
5767	136	-97.7342	30.2656	0.0
5769	136	-97.7351	30.2643	0.0
10479	136	-97.7315	30.2647	0.0
5721	136	-97.7339	30.2676	0.0
5676	136	-97.7339	30.2666	0.0
10617	136	-97.7335	30.2675	0.0
10615	136	-97.7317	30.2659	0.0
12673	136	-97.7342	30.2679	0.0
12674	136	-97.7334	30.2677	0.0
5673	136	-97.7373	30.2578	0.0
5708	136	-97.7373	30.2598	0.0
5672	136	-97.7363	30.2619	0.0
5657	136	-97.7358	30.261	0.0
5681	136	-97.7352	30.2639	0.0
5656	136	-97.7357	30.2614	0.0
11551	136	-97.7344	30.2605	0.0
5658	136	-97.7365	30.2619	0.0
12566	136	-97.7359	30.2636	0.0
3427	136	-97.7357	30.263	0.0
5680	136	-97.7355	30.262	0.0
12565	136	-97.735	30.2634	0.0
5768	136	-97.7355	30.2645	0.0
5765	136	-97.734	30.2686	0.0
5662	136	-97.7332	30.2684	0.0
6384	136	-97.7222	30.2909	0.0
9913	136	-97.7217	30.2914	0.0
6393	136	-97.7183	30.2966	0.0
6373	136	-97.7254	30.2863	0.0
10261	136	-97.7259	30.2855	0.0
