id	type	origin	destination	demand
1901	111	100404	201409	1.0
1902	111	100404	200385	1.0
1903	111	100404	201408	2.0
1904	111	100404	200384	1.0
1905	111	100404	201413	4.0
1906	111	100404	230479	1.35958
1907	111	100404	200403	1.0
1908	111	100404	226386	3.2229
1909	111	100404	230615	1.613212
1910	111	100404	200407	2.0
1911	111	100404	200406	3.0
1912	111	100404	200405	2.0
1913	111	100404	226393	3.2526129999999998
1914	111	100404	230616	1.70504
1915	111	100404	231786	6.885184
1916	111	100404	231027	0.58288
1917	111	100404	231551	1.867382
1918	111	100407	201409	1.0
1919	111	100407	200385	1.0
1920	111	100407	201408	2.0
1921	111	100407	200384	1.0
1922	111	100407	225669	3.75334
1923	111	100407	201413	4.0
1924	111	100407	225545	8.24733
1925	111	100407	225673	0.2493302
1926	111	100407	230479	2.71916
1927	111	100407	200403	1.062
1928	111	100407	226386	1.61145
1929	111	100407	200849	1.062
1930	111	100407	230615	0.806606
1931	111	100407	200406	3.0
1932	111	100407	200405	4.248
1933	111	100407	200404	1.062
1934	111	100407	229913	0.868248
1935	111	100407	226393	5.111249
1936	111	100407	200345	1.0
1937	111	100407	200344	1.0
1938	111	100407	225698	5.136839999999999
1939	111	100407	232097	1.55831
1940	111	100407	200359	1.0
1941	111	100407	200356	1.0
1942	111	100407	231786	2.742033
1943	111	100407	200362	3.0
1944	111	100407	200361	1.0
1945	111	100407	200360	1.0
1946	111	100407	231791	17.8149
1947	111	100407	231027	0.58288
1948	111	100407	200375	1.0
1949	111	100407	226359	3.55072
1950	111	100407	200373	1.0
1951	111	100407	200372	1.062
1952	111	100407	200379	4.0
1953	111	100407	200378	3.0
1954	111	100407	226234	1.11927
1955	111	100407	200377	3.0
1956	111	100407	200376	3.0
1957	111	100407	231551	3.734764
1958	111	100407	200383	5.0
1959	111	100407	200382	2.0
1960	111	100407	225469	3.362404
1961	111	100407	200381	6.0
1962	111	100407	200380	3.0
1963	111	130615	226307	1.12768
1964	111	130615	200385	2.25536
1965	111	130615	200384	1.12768
1966	111	130615	201408	9.02144
1967	111	130615	201413	2.25536
1968	111	130615	233099	3.3830400000000003
1969	111	130615	225545	27.544690000000003
1970	111	130615	225673	1.5707816
1971	111	130615	225551	2.3952
1972	111	130615	200403	4.7904
1973	111	130615	225553	3.59279
1974	111	130615	200849	8.38318
1975	111	130615	200407	20.29822
1976	111	130615	200406	53.00092000000001
1977	111	130615	200405	37.125420000000005
1978	111	130615	200404	7.1855899999999995
1979	111	130615	229913	2.923396
1980	111	130615	226393	10.560431000000001
1981	111	130615	225698	0.864787
1982	111	130615	200358	1.12768
1983	111	130615	231786	61.07743
1984	111	130615	200362	2.25536
1985	111	130615	200361	1.12768
1986	111	130615	200360	1.12768
1987	111	130615	200374	4.51072
1988	111	130615	200372	5.9879999999999995
1989	111	130615	231483	3.3830400000000003
1990	111	130615	200379	30.447320000000005
1991	111	130615	200378	30.447320000000005
1992	111	130615	200377	12.40447
1993	111	130615	200376	1.12768
1994	111	130615	200383	13.53216
1995	111	130615	200382	40.596410000000006
1996	111	130615	225469	22.86931
1997	111	130615	200381	116.1509
1998	111	130615	200380	39.468740000000004
1999	111	100406	225669	5.63001
2000	111	100406	225545	27.491080000000004
2001	111	100406	225673	0.1994641
2002	111	100406	200849	3.186
2003	111	100406	229913	1.7364960000000003
2004	111	100406	200345	2.0
2005	111	100406	200344	1.0
2006	111	100406	225698	1.02737
2007	111	100406	232097	3.11662
2008	111	100406	200359	2.0
2009	111	100406	200358	1.0
2010	111	100406	200356	1.0
2011	111	100406	200362	4.0
2012	111	100406	200361	3.0
2013	111	100406	200360	1.0
2014	111	100406	200375	2.0
2015	111	100406	226359	3.55072
2016	111	100406	200374	1.0
2017	111	100406	200373	1.0
2018	111	100406	200372	1.062
2019	111	100406	200379	8.0
2020	111	100406	200378	6.0
2021	111	100406	226234	1.11927
2022	111	100406	200377	5.0
2023	111	100406	200376	5.0
2024	111	100406	200383	7.0
2025	111	100406	200382	6.0
2026	111	100406	231229	5.346
2027	111	100406	225469	10.927805
2028	111	100406	200381	9.0
2029	111	100406	200380	6.0
2030	111	100406	226364	4.33695
2031	111	100406	201409	3.0
2032	111	100406	200385	2.0
2033	111	100406	201408	2.0
2034	111	100406	200384	1.0
2035	111	100406	201413	7.0
2036	111	100406	230479	9.51707
2037	111	100406	200403	3.186
2038	111	100406	226386	1.61145
2039	111	100406	230615	1.613212
2040	111	100406	200407	4.0
2041	111	100406	200405	7.434000000000001
2042	111	100406	226393	8.82853
2043	111	100406	230616	1.70504
2044	111	100406	231786	5.484066
2045	111	100406	231791	17.8149
2046	111	100406	231027	1.16576
2047	111	100406	231551	2.801073
2048	111	130616	226307	0.767885
2049	111	130616	233099	8.702697
2050	111	130616	225545	12.232416
2051	111	130616	225673	0.099732
2052	111	130616	233096	1.023848
2053	111	130616	225551	0.815496
2054	111	130616	200849	3.2619819999999997
2055	111	130616	225553	4.077474
2056	111	130616	200345	1.023848
2057	111	130616	229913	6.394925
2058	111	130616	200344	1.791733
2059	111	130616	200359	2.559616
2060	111	130616	200358	2.8155780000000004
2061	111	130616	200356	1.5357720000000001
2062	111	130616	200363	0.511924
2063	111	130616	200362	21.50078
2064	111	130616	200361	2.047694
2065	111	130616	200360	1.7917319999999999
2066	111	130616	200375	6.143090000000001
2067	111	130616	226359	3.07154
2068	111	130616	200374	5.887124000000001
2069	111	130616	200373	3.8394259999999996
2070	111	130616	200372	3.5338119999999997
2071	111	130616	200379	33.01905
2072	111	130616	231483	2.303655
2073	111	130616	200378	14.84578
2074	111	130616	226234	4.095386
2075	111	130616	200377	34.55482
2076	111	130616	200376	15.357679999999997
2077	111	130616	200383	33.53097
2078	111	130616	200382	5.375201000000001
2079	111	130616	225469	2.262701
2080	111	130616	200381	11.518268
2081	111	130616	231229	2.5596170000000003
2082	111	130616	200380	7.4228879999999995
2083	111	130616	226364	0.255962
2084	111	130616	200386	0.7678860000000001
2085	111	130616	201410	5.119233
2086	111	130616	200385	12.542109999999997
2087	111	130616	201409	6.655008
2088	111	130616	200384	16.38153
2089	111	130616	201408	10.750388
2090	111	130616	201413	26.10808
2091	111	130616	200403	4.349303999999999
2092	111	130616	226386	0.347198
2093	111	130616	200407	0.511924
2094	111	130616	200406	3.839429
2095	111	130616	200405	5.980302
2096	111	130616	200404	1.087324
2097	111	130616	226393	51.237610000000004
2098	111	130616	226399	3.839424
2099	111	130616	231786	43.22118
2100	111	130616	231791	29.9914
2101	111	126392	200361	1.0
2102	111	126392	229913	0.5481360000000001
2103	111	126399	226307	2.0
2104	111	126399	233099	26.0
2105	111	126399	225545	9.558000000000002
2106	111	126399	225673	1.2466504
2107	111	126399	233096	4.0
2108	111	126399	225551	5.3100000000000005
2109	111	126399	232077	139.11218
2110	111	126399	225553	23.363999999999997
2111	111	126399	200849	7.35592
2112	111	126399	229913	22.839057000000004
2113	111	126399	200345	12.121329999999999
2114	111	126399	200344	13.852939999999998
2115	111	126399	225698	3.4591469999999997
2116	111	126399	200359	15.584559999999998
